url,job_title,company,location,sector,job_type,level,job_specialisation,qualification,pay_range,description
https://www.jobstreet.com.sg/en/job/talent-acquisition-intern-data-ai-lab-singapore*-10004327?jobId=jobstreet-sg-job-10004327&sectionRank=55&token=0~e776d819-4cf2-4833-9215-7d016ccb5dd3&fr=SRP%20Job%20Listing,Talent Acquisition Intern - Data AI Lab - Singapore*,TikTok,Singapore,Computer / Information Technology (Software),Internship,Entry Level,"Admin/Human Resources, Human Resources","Diploma, Advanced/Higher/Graduate Diploma, Bachelor's Degree, Post Graduate Diploma, Professional Degree, Master's Degree",,"About UsTikTok is the leading destination for short-form mobile video. Our mission is to inspire creativity and bring joy. TikTok has global offices including Los Angeles, New York, London, Paris, Berlin, Dubai, Singapore, Jakarta, Seoul and Tokyo.Why Join UsAt TikTok, our people are humble, intelligent, compassionate and creative. We create to inspire - for you, for us, and for more than 1 billion users on our platform. We lead with curiosity and aim for the highest, never shying away from taking calculated risks and embracing ambiguity as it comes. Here, the opportunities are limitless for those who dare to pursue bold ideas that exist just beyond the boundary of possibility. Join us and make impact happen with a career at TikTok.In this role you will be a part of a fun, supportive and professional team. One of the biggest priorities for us is that you can learn and be exposed to job scope in a manageable way that is consistent with your career goals. Make this experience real and fruitful. Play your part to inspire creativity and bring joy.Participate actively in the recruitment life cycle, which includes sourcing, screening and engaging top talents.Support strategic talent-mapping, market research projects and deliver insights to business leaders to support business growth.Support new projects, and/or optimise current processes to improve efficiency and effectiveness.Achieve a holistic business understanding through collaborating with cross-functional and regional teams.Support HRBP in any other general HR-related work and/or projects.QualificationsUndergraduate or master students who are interested in the tech industry.Excellent communication and interpersonal skills. Proficiency in English.Outstanding academic achievementsSelf-driven, proactive, and dedicated goal achiever.Able to commit to a full-time 6 months internship at least. Open to part-time arrangement with at least 3 working days in a week if required.TikTok is committed to creating an inclusive space where employees are valued for their skills, experiences, and unique perspectives. Our platform connects people from across the globe and so does our workplace. At TikTok, our mission is to inspire creativity and bring joy. To achieve that goal, we are committed to celebrating our diverse voices and to creating an environment that reflects the many communities we reach. We are passionate about this and hope you are too."
https://www.jobstreet.com.sg/en/job/talent-acquisition-intern-data-ai-lab-singapore-9985970?jobId=jobstreet-sg-job-9985970&sectionRank=95&token=0~a398fdd5-4cbd-41df-8d2c-b96166f35c68&fr=SRP%20Job%20Listing,Talent Acquisition Intern - Data AI Lab - Singapore,TikTok,Singapore,Computer / Information Technology (Software),Internship,Entry Level,"Admin/Human Resources, Human Resources","Diploma, Advanced/Higher/Graduate Diploma, Bachelor's Degree, Post Graduate Diploma, Professional Degree, Master's Degree",,"About UsTikTok is the leading destination for short-form mobile video. Our mission is to inspire creativity and bring joy. TikTok has global offices including Los Angeles, New York, London, Paris, Berlin, Dubai, Singapore, Jakarta, Seoul and Tokyo.Why Join UsAt TikTok, our people are humble, intelligent, compassionate and creative. We create to inspire - for you, for us, and for more than 1 billion users on our platform. We lead with curiosity and aim for the highest, never shying away from taking calculated risks and embracing ambiguity as it comes. Here, the opportunities are limitless for those who dare to pursue bold ideas that exist just beyond the boundary of possibility. Join us and make impact happen with a career at TikTok.In this role you will be a part of a fun, supportive and professional team. One of the biggest priorities for us is that you can learn and be exposed to job scope in a manageable way that is consistent with your career goals. Make this experience real and fruitful. Play your part to inspire creativity and bring joy.Participate actively in the recruitment life cycle, which includes sourcing, screening and engaging top talents.Support strategic talent-mapping, market research projects and deliver insights to business leaders to support business growth.Support new projects, and/or optimise current processes to improve efficiency and effectiveness.Achieve a holistic business understanding through collaborating with cross-functional and regional teams.Support HRBP in any other general HR-related work and/or projects.QualificationsUndergraduate or master students who are interested in the tech industry.Excellent communication and interpersonal skills. Proficiency in English.Outstanding academic achievementsSelf-driven, proactive, and dedicated goal achiever.Able to commit to a full-time 6 months internship at least. Open to part-time arrangement with at least 3 working days in a week if required.TikTok is committed to creating an inclusive space where employees are valued for their skills, experiences, and unique perspectives. Our platform connects people from across the globe and so does our workplace. At TikTok, our mission is to inspire creativity and bring joy. To achieve that goal, we are committed to celebrating our diverse voices and to creating an environment that reflects the many communities we reach. We are passionate about this and hope you are too."
https://www.jobstreet.com.sg/en/job/intern-experience-engineer-pdms-dpm-experience-design-jobsthatmatter-10002557?jobId=jobstreet-sg-job-10002557&sectionRank=456&token=0~9fec8ab4-b40c-40dd-8863-ceb5aec4f6e1&fr=SRP%20Job%20Listing,"Intern, Experience Engineer, (PDMS-DPM-Experience Design) #JobsThatMatter",Autodesk Asia Pte Ltd,Singapore,Computer / Information Technology (Software),Internship,Entry Level,"Sales/Marketing, Marketing/Business Dev","Professional Certificate/NiTEC, Diploma, Advanced/Higher/Graduate Diploma, Bachelor's Degree, Post Graduate Diploma, Professional Degree",,"Position OverviewAutodesk is seeking a talented, and self-motivated Design/Engineering student to join our PDMS - DPM XD team. The successful candidate can demonstrate an ability to work in cross-functional teams, composed of Design, Research, Product Management, Engineering, Customer Excellence and Marketing. The ideal candidate is comfortable working in a fast-paced and collaborative environment building from suggestion, criticism, and directive from other team members. This candidate must also be an exceptional communicator, both visually and verbally.The role of the intern is to support various projects related to data and process management. These projects can include the designing and coding front end of web and mobile applications. As a member of the design team, this intern will be working from various aspects of design and engineering with senior leaders, and will contribute to the User-Experience, User-Interface design, and implementation.ResponsibilitiesDevelopment effort for user Interface and New Customer Experience.Working closely with designers and researchers to come up with a uniform implementation for the UI components in Autodesk products.Advise on how to develop complex functionality in small iterations with cross organizational dependencies and different stakeholders.Work with tech lead to understand and deliver project assignments.Minimum QualificationsBS in Computer Science / Design or related technical field or equivalent practical experience.??HTML5, CSS3, JavaScript development experienceExperience with popular front-end frameworks like React, etc.Preferred QualificationsExperience developing clean, valid, and ww3 standard compatible websites and web applications and GWT.Learning BenefitsUnderstanding of Software development life cycle.Learning to work with a User Experience Team.Opportunity to grow yourself in Web tech stack by working on professional products.About AutodeskWith Autodesk software, you have the power to Make Anything. The future of making is here, bringing with it radical changes in the way things are designed, made, and used. It?€?s disrupting every industry: architecture, engineering, construction, manufacturing, and media and entertainment. With the right knowledge and tools, this disruption is your opportunity.Our software is used by everyone - from design professionals, engineers, and architects to digital artists, students, and hobbyists. We constantly explore new ways to integrate all dimensions of diversity across our employees, customers, partners, and communities. Our goal is to expand opportunities for anyone to imagine, design, and make a better world.At Autodesk, we're building a diverse workplace and an inclusive culture to give more people the chance to imagine, design, and make a better world. Autodesk is proud to be an equal opportunity employer and considers all qualified applicants for employment without regard to race, color, religion, age, sexual orientation, gender, gender identity, national origin, disability, veteran status or any other legally protected characteristic. We also consider for employment all qualified applicants regardless of criminal histories, consistent with applicable law.Are you an existing contractor or consultant with Autodesk? Please search for open jobs and apply internally (not on this external site). If you have any questions or require support, contact Autodesk Careers."
https://www.jobstreet.com.sg/en/job/backend-engineer-intern-tiktok-global-live-2022-worknow*-10003780?jobId=jobstreet-sg-job-10003780&sectionRank=64&token=0~eefb8c67-0acf-4229-828e-028f986e60c9&fr=SRP%20Job%20Listing,"Backend Engineer Intern, (TikTok Global Live) - 2022 #WorkNow*",TikTok,Singapore,Computer / Information Technology (Software),Internship,Entry Level,"Computer/Information Technology, IT-Software","Bachelor's Degree, Post Graduate Diploma, Professional Degree, Master's Degree",,"TikTok is the leading destination for short-form mobile video. Our mission is to inspire creativity and bring joy. TikTok has global offices including Los Angeles, New York, London, Paris, Berlin, Dubai, Singapore, Jakarta, Seoul and Tokyo.We are now looking for talented individuals to join us for an internship in 2022 - people who want to inspire creativity and co-create the future with TikTok.Successful candidates must be able to commit to one of the following internship cycles below:Summer Internship - 09 May 2022 to 29 July 2022 (12 weeks)Off-cycle Internship - 01 August 2022 to 16 December 2022 (20 weeks)We will prioritize candidates who are able to commit to the two above internship periods.Please state your availability clearly in the comments section (Start date, End date).Candidates can apply to a maximum of two positions and will be considered for jobs in the order you apply. The application limit is firm and includes all TikTok/ByteDance jobs globally. Applications will be reviewed on a rolling basis and we encourage you to apply early.About the TikTok Engineering TeamWe are building up an engineering team for core TikTok product in Singapore, to ensure TikTok continues a healthy growth, deliver the best product experience to all of our users, build the most attractive features to help users on enjoying their time on TikTok, earn trust on privacy protection, and more.ResponsibilitiesDevelop large-scale software systems that drive the TikTok app;Improve system design and architecture to ensure high stability, performance, and reliability of the product;Collaborate with cross-functional teams to deliver high-quality work in a fast-paced environment.QualificationsUndergraduate, or Postgraduate who is currently pursuing a degree/master in Software Development, Computer Science, Computer Engineering, or a related technical disciplineExperience in building backend services for large-scale consumer-facing applicationsProficient in at least one of the following languages: Go, Python, Java, C++Deep understanding of computer architectures, data structures and algorithmsGood communication and team collaboration skills in a team settingPreferred QualificationsExperienced in building backend services for large-scale consumer-facing applications.By submitting an application for this role, you accept and agree to our global applicant privacy policy, which may be accessed here: https://careers.tiktok.com/legal/privacy."
https://www.jobstreet.com.sg/en/job/internship-with-the-automation-team-worknow-urgent-10001823?jobId=jobstreet-sg-job-10001823&sectionRank=59&token=0~995e6150-f1e1-4e71-9259-3808501b8530&fr=SRP%20Job%20Listing,Internship with the Automation Team - #WorkNow #Urgent,Jabil Circuit (Singapore) Pte Ltd,Singapore,Manufacturing / Production,Internship,Entry Level,"Computer/Information Technology, IT-Software","Primary/Secondary School/O Level, Diploma, Advanced/Higher/Graduate Diploma, Bachelor's Degree, Post Graduate Diploma, Professional Degree",,"JOB SUMMARY????The??intern??is responsible for the design, development,??and??installation??of??our integrated technology systems??and??solutions that provide image-based automatic inspection??and??analysis across a wide range??of??applications??and??industries.??Responsible for design??of??automation equipment to ensure stipulated specification??and??requirements are met??and??delivered within budget??and??on time.??ESSENTIAL DUTIES??AND??RESPONSIBILITIES????Assist senior or lead automation design engineers in the development??and??utilization??of??processes for machine vision requirement analysis??and??documentation, design documentation??and??requirements management.????Works closely with Project Manager/Engineer??to??meet project timeline??and??within budget.??Reviews, understands, and interprets requirements/specification accurately for integration into design??of??equipment.??Ensures design for manufacturability.??Acts as liaison with internal??and/or external Assemblers/manufacturer??of??equipment??to??ensure all parts are manufactured??to??the design.??Generates design drawings, installation manual,??and??user manual.??Comply??and??follow all procedures within the company security??and??safety policies.????May perform other duties??and??responsibilities as assigned.??KNOWLEDGE REQUIREMENTS????Understanding??of??Cross-development with the concept??and??issues??of??developing for a different target environment.??This includes cross-development tools (compilers, linkers, debuggers, libraries, etc.) as well as issues??of??downloading or installing code (C / C++ / C#)????Understand the concept??of??Software Configuration Management.????Ability??to??write reports, business correspondence,??and??procedure manuals.??????Ability??to??effectively present information??and??respond??to??questions from groups??of??managers, clients, customers,??and??the general public.??(Optional) Familiarity in Database, SQL, backend process,??and??related machine learning libraries.??(Optional) Familiarity in OpenCV,??and??related computer vision??and??machine learning libraries.??(Optional) Familiarity with parallel programming??languages??e.g. CUDA??and??Open CL??Experienced functional knowledge??of??mechanical/electronics/electrical/software application engineering.??(Optional) Experienced functional knowledge??of??automation equipment assembly??and??installation.??Ability??to??interpret an extensive variety??of??technical instructions in mathematical or diagram form??and??deal with several abstract??and??concrete variables.??Majoring or the main??research??in computer vision, machine vision or image processing.??Accessibility AccommodationIf you are a qualified individual with a disability, you have the right??to??request a reasonable accommodation if you are unable or??limited??in your ability??to??use or access https://careers.jabil.com/ site as a result??of??your disability. You can request a reasonable accommodation by calling 1.727.803.7515 with the nature??of??your request??and??contact information. Please do not direct any other general employment related questions??to??this e-mail or phone number. Please note that only those inquiries concerning a request for reasonable accommodation will be responded??to??from this e-mail address??and/or phone number."
https://www.jobstreet.com.sg/en/job/2023-quantitative-analytics-summer-associate-program-singapore-1033216213?jobId=jobstreet-sg-job-1033216213&sectionRank=421&token=0~ef142192-850b-4aad-a9d3-fc70d7ea1b5f&fr=SRP%20Job%20Listing,2023 Quantitative Analytics Summer Associate Program - Singapore,"JPMORGAN CHASE BANK, N.A.",Singapore,Banking / Financial Service,Internship,Not Specified,"Accounting/Finance, Banking/Financial",Not Specified,,"Spend your internship working alongside our top tier professionals, driving innovation through financial engineering, derivatives modeling, asset and liability management and risk management. You'll help develop mathematical models, methodologies and tools used throughout the firm while gaining in-depth insight into the world of risk modeling, investment banking and the financial services industry.What to expectOur 2023 Associate internship program in Singapore has a duration of 6 months or depending on your academic schedule. Your professional growth and development will be supported throughout the internship program via project work related to your academic and professional interests, mentorship, engaging speaker series with senior leaders and more. Full-time employment offers may be extended upon successful completion of the program.You?€?ll have the chance to:?€? Understand the role of integrity and transparency in dealing with regulators, clients and business partners?€? Work collaboratively across the entire organization to find and solve problems before they grow?€? Come up with innovative ways to solve challenges and answer queries?€? Work on complex problems that require creative solutions?€? Manage relationships with clients, regulators and stakeholders to minimize risks and follow laws in various locationsAbout youWe are looking for innovative problem-solvers with a passion for developing complex solutions that support our global business.Key Qualifications Include:?€? Currently enrolled in Ph.D. or a Master?€?s degree program in Mathematics, Physics, Engineering, Computer Science, Machine Learning, Statistics or other quantitative fields with an expected graduation date beyond September 2023.?€? You demonstrate quantitative and problem solving skills as well as research ability?€? You are good at communicating concepts and ideas, both verbally and via documentation, and explaining technical material to a non-technical audienceDesirable Skills Include:?€? Understanding of advanced mathematics arising in financial modelling (probability theory, stochastic calculus, partial differential equations, numerical analysis, optimization, machine learning, statistics, econometrics?€?)?€? Software design and development skills using C++, Python, JavaScript?€? Knowledge of options pricing theory, trading algorithms or financial regulationsBeyond that, we?€?re interested in the things that make you unique: personal qualities, outside interests and achievements beyond academia and profession that demonstrate the kind of person you are and the differences you could bring to the team.Join usAt JPMorgan Chase, we?€?re creating positive change for the diverse communities we serve. We do this by championing your innovative ideas through a supportive culture that helps you every step of the way as you build your career. If you are passionate, curious and ready to make an impact, we are looking for you.What?€?s next?We will review summer internship applications as they are received and extend offers on a rolling basis. ?€?We strongly encourage you to apply early, as programs will close as positions are filled.JPMorgan Chase is committed to creating an inclusive work environment that respects all people for their unique skills, backgrounds and professional experiences. We strive to hire qualified, diverse candidates, and we will provide reasonable accommodations for known disabilities.Visit *************** for upcoming events, career advice, our locations and more.This program is an opportunity to take your career to the next level through hands-on experience, relevant skills training and valuable professional networking. As it is a pipeline for future graduate opportunities, based on individual performance and achievements, those who successfully complete the program may receive offers of full time employment with the firm in 2024. Holding the permanent right to work in Singapore is an advantage, however, candidates requiring visa sponsorship may still apply.??2022 JPMorgan Chase & Co. JPMorgan Chase is an equal opportunity and affirmative action employer Disability/VeteranTo apply for this position, please use the following URL:***************-"
https://www.jobstreet.com.sg/en/job/field-marketing-intern-1033316173?jobId=jobstreet-sg-job-1033316173&sectionRank=646&token=0~e7d60165-ebaf-4dd2-982a-93e6a35f8554&fr=SRP%20Job%20Listing,Field Marketing Intern,SERVICENOW PTE. LTD.,Singapore,,Internship,Not Specified,"Sales/Marketing, Marketing/Business Dev",Not Specified,,"Company DescriptionAt ServiceNow, our technology makes the world work for everyone, and our people make it possible. We move fast because the world can?€?t wait, and we innovate in ways no one else can for our customers and communities. By joining ServiceNow, you are part of an ambitious team of change makers who have a restless curiosity and a drive for ingenuity. We know that your best work happens when you live your best life and share your unique talents, so we do everything we can to make that possible. We dream big together, supporting each other to make our individual and collective dreams come true. The future is ours, and it starts with you.With more than 7,400+ customers, we serve approximately 80% of the Fortune 500, and we're proud to be one of FORTUNE's 100 Best Companies to Work For?? and World's Most Admired Companies?? 2022.Learn more on Life at Now blog and hear from our employees about their experiences working at ServiceNow.Unsure if you meet all the qualifications of a job description but are deeply excited about the role? We still encourage you to apply! At ServiceNow, we are committed to creating an inclusive environment where all voices are heard, valued, and respected. We welcome all candidates, including individuals from non-traditional, varied backgrounds, that might not come from a typical path connected to this role. We believe skills and experience are transferrable, and the desire to dream big makes for great candidates.Job DescriptionSuccessful Candidates will be involved many of the activities below:Manage campaign setup and marketing activity plan processes in order to operationalize our digital demand generation programsEnsure that demand generation programs are running properly, and lead flow is accurate with third party vendors provide content syndication services, check pacing to be sure we are on track with quarterly goals.Assist in running performance reports for our quarterly digital programs.Work with campaigns team to curate content for monthly sales newsletters and regular updates for campaigns site.Support our webinar program including building target landing pages for events, creating scorecards for all webinars, support reporting needs for performance reviews, building promotional programs via social media.Works cross functionally to track schedules and manage tickets for projectsQualificationsRole??Requirements??Currently enrolled at an accredited University pursuing a Bachelors ??degree in Business, Marketing,??Administration??or a similar field??Expected to graduate anytime between Dec 2023 ?€? Dec 2024Able to commit for 3 months full time (Monday to Friday) internship, starting April/May 2023Excellent communication skills, both written and verbal????Proficiency in MS Office and comfortable with spreadsheets and powerpoints; experience using digital marketing systems (i.e. webinar, social media tools, SharePoint, wiki sites, ??Self-starter, willing to take initiative, well organized and able to connect project objectives with execution detailsPositive attitude, and growth mindset to be curious about what works, what doesn?€?t and why??????Able to build good cross functional relationship with a variety of teams????Thrives in a fast-paced work environment??"
https://www.jobstreet.com.sg/en/job/intern-research-development-worknow-10014742?jobId=jobstreet-sg-job-10014742&sectionRank=11&token=0~1b45e08d-47c4-405a-970b-0e8109e55c77&fr=SRP%20Job%20Listing,Intern (Research & Development) #WorkNow,TikTok,Singapore,Computer / Information Technology (Software),Internship,Entry Level,"Computer/Information Technology, IT-Software","Bachelor's Degree, Post Graduate Diploma, Professional Degree, Master's Degree",,"ResponsibilitiesTikTok is the leading destination for short-form mobile video. Our mission is to inspire creativity and bring joy. TikTok has global offices including Los Angeles, New York, London, Paris, Berlin, Dubai, Singapore, Jakarta, Seoul and Tokyo.We are looking for talented individuals to join us! We are building up an engineering team for core TikTok product in Singapore, to ensure TikTok continues a healthy growth, deliver the best product experience to all of our users, build the most attractive features to help users enjoy their time on TikTok, earn trust in privacy protection, and more.Our challenges are not your regular day-to-day technical problems; you'll be part of a team that's developing new solutions to new challenges of a kind not previously addressed by big tech. It's working fast, at scale, and we're making a difference.Insight to Research & Development teamThe Research & Development team drives our business forward by refining and improving our current products to meet the demands of our global users, as well as exploring entirely new innovations for the future. This involves understanding our users, identifying opportunity areas, prioritizing the problems we must solve, and rapidly creating innovative user experience solutions.Potential TeamsIf you're looking for challenging ground to push your limits, here are some potential teams to kickstart your career!Product Research & Development and InfrastructureOur products include R&D collaboration platform, continuous integration/continuous release system, Cloud IDE, etc. As part of the team, you will drive the development of the systems behind TikTok.You will be leveraging your software engineering expertise to develop large-scale software systems and platforms to optimise the operational and engineering efficiencies of complex systems at scale, with particular focus on improving the systems' observability, performance and maintainability.You will also work on quantitative and qualitative data to guide and uncover insights, turning our findings into real products to power exponential growth.TikTok Data Platform TeamWe are building solid data capabilities and enhancing the robust data ecosystem for TikTok, and aiming to maximize data value to benefit our hosts & users and power TikTok.As part of the team, you will be instrumental in ensuring we use data analysis to keep our users and community safe. You will be surfacing actionable insights from our data, scoping the quantitative impact of potential opportunities, and identifying opportunities to improve product quality and product data operations workforce on our platformYou will work closely with product managers, program managers, engineers, and policy managers on measuring risks, and detecting and preventing negative experiences on our product.If you're looking for a challenging ground to push your limits, this is the team for you!QualificationsUndergraduate or Postgraduate currently pursuing a Degree/Master/PhD in Software Development, Computer Science, Computer Engineering, or a related technical disciplineExperience in data manipulation with SQL, Python or other programming-languages/toolsA good understanding of data structure, distributed systems and algorithmsExperience in data analysis, visualization and reportingBy submitting an application for this role, you accept and agree to our global applicant privacy policy, which may be accessed here: https://careers.tiktok.com/legal/privacy.Assessment process will primarily commence from Mid-August 2022."
https://www.jobstreet.com.sg/en/job/intern-data-analyst-aec-design-bid-reality-solutions-urgent-jobsthatmatter-10002533?jobId=jobstreet-sg-job-10002533&sectionRank=50&token=0~32f03ef7-092c-448b-85a1-966d2e1f9ba9&fr=SRP%20Job%20Listing,"Intern, Data Analyst, (AEC Design-BID-Reality Solutions) #Urgent #JobsThatMatter",Autodesk Asia Pte Ltd,Singapore,Computer / Information Technology (Software),Internship,Entry Level,"Computer/Information Technology, IT-Software","Professional Certificate/NiTEC, Diploma, Advanced/Higher/Graduate Diploma, Bachelor's Degree, Post Graduate Diploma, Professional Degree",,"Position OverviewWe are looking for a passionate Intern Data Analyst who will turn data into information.ResponsibilitiesYou will get a chance to work with a leading-edge Big Data Platform team and learn what?€?s under the hood in a big data platform. You will also get to work with the latest big data technologies like Hive, Spark, Looker, etc. Apart from that, you will be integrated with the team and interacting with them on a day-to-day basis.Minimum QualificationsFinal Year Bachelors in Computer Science / Computer EngineeringPreferred QualificationsProgramming knowledge, e.g. Javascript, Python.Passion to learn new technology.Learning BenefitsYou will acquire hands on experience in Big Data Platform, Hive, Spark, Looker that will you?€?re your skills as a Data Analyst.About AutodeskWith Autodesk software, you have the power to Make Anything. The future of making is here, bringing with it radical changes in the way things are designed, made, and used. It?€?s disrupting every industry: architecture, engineering, construction, manufacturing, and media and entertainment. With the right knowledge and tools, this disruption is your opportunity.Our software is used by everyone - from design professionals, engineers, and architects to digital artists, students, and hobbyists. We constantly explore new ways to integrate all dimensions of diversity across our employees, customers, partners, and communities. Our goal is to expand opportunities for anyone to imagine, design, and make a better world.At Autodesk, we're building a diverse workplace and an inclusive culture to give more people the chance to imagine, design, and make a better world. Autodesk is proud to be an equal opportunity employer and considers all qualified applicants for employment without regard to race, color, religion, age,sexual orientation, gender, gender identity, national origin, disability, veteran status or any other legally protected characteristic. We also consider for employment all qualified applicants regardless of criminal histories, consistent with applicable law.Autodesk has always valued flexibility in how we work. We continue to provide employees flexibility to support their work preferences wherever possible and nearly all roles are hybrid or remote, unless otherwise indicated.Are you an existing contractor or consultant with Autodesk? Please search for open jobs and apply internally (not on this external site). If you have any questions or require support, contact Autodesk Careers."
https://www.jobstreet.com.sg/en/job/internship%3A-global-wholesale-banking-enterprise-banking-middle-market-services-%5Bjan-2023-may-2023%5D-worknow-9981019?jobId=jobstreet-sg-job-9981019&sectionRank=491&token=0~caa7fa44-c01c-4aa9-825e-352fd791c362&fr=SRP%20Job%20Listing,Internship: Global Wholesale Banking - Enterprise Banking ?€? Middle Market & Services [Jan 2023 - May 2023] #WorkNow,OCBC Bank (Singapore),Singapore,Banking / Financial Service,Internship,Entry Level,"Accounting/Finance, Banking/Financial","Bachelor's Degree, Post Graduate Diploma, Professional Degree, Master's Degree",,"Internship: Global Wholesale Banking - Enterprise Banking ?€? Middle Market & Services [Jan 2023 - May 2023] - (220001RX)Learning Objectives:Credit Fundamentals - Perform credit writing and recommendation.Relationship??Management - Knowledge and ability to provide customer services, enquiries and financials products.Financial Analysis - Collect, extract, and interpret data.??Job Description:??Assist RM in day to day operational task and customer servicing.Obtain customer documentation to facilitate credit reviews and updates.Collate and analyse customers?€? information to conduct review and marketing related activities.Job Requirements??Post Graduate or Undergraduate??in any relevant fields"
