title,key_terms
banking,"['risk', 'management', 'business', 'financial', 'client', 'team', 'market', 'support', 'experience', 'investment', 'control', 'work', 'skill', 'compliance', 'include', 'finance', 'credit', 'regulatory', 'provide', 'global']"
it,"['system', 'support', 'operation', 'provide', 'experience', 'service', 'issue', 'work', 'sap', 'management', 'process', 'maintenance', 'level', 'network', 'perform', 'knowledge', 'maintain', 'ensure', 'incident', 'center']"
project manager,"['project', 'ensure', 'process', 'management', 'plan', 'manage', 'quality', 'cost', 'budget', 'planning', 'report', 'analysis', 'delivery', 'material', 'review', 'prepare', 'production', 'work', 'forecast', 'standard']"
software developer,"['experience', 'design', 'software', 'development', 'system', 'application', 'team', 'work', 'knowledge', 'code', 'good', 'architecture', 'develop', 'technology', 'technical', 'cloud', 'engineering', 'web', 'database', 'platform']"
product manager,"['product', 'business', 'marketing', 'team', 'market', 'strategy', 'drive', 'experience', 'digital', 'management', 'work', 'strong', 'insight', 'ability', 'key', 'across', 'customer', 'manager', 'partner', 'skill']"
data science,"['datum', 'data', 'experience', 'analytic', 'model', 'business', 'science', 'use', 'work', 'analysis', 'tool', 'machine', 'learning', 'skill', 'python', 'team', 'develop', 'strong', 'sql', 'solution']"
sales,"['customer', 'sale', 'product', 'service', 'account', 'work', 'new', 'relationship', 'pm', 'company', 'develop', 'client', 'experience', 'day', 'provide', 'job', 'requirement', 'technical', 'year', 'maintain']"
cybersecurity,"['security', 'service', 'hr', 'information', 'chain', 'supply', 'client', 'healthcare', 'cyber', 'skill', 'work', 'opportunity', 'professional', 'network', 'technology', 'threat', 'business', 'project', 'singapore', 'strong']"
electrical engineer,"['engineering', 'electrical', 'electronic', 'industrial', 'equipment', 'control', 'logic', 'engineer', 'robotic', 'manufacturing', 'commission', 'food', 'site', 'mechanical', '3d', 'job', 'automation', 'computer', 'design', 'system']"
ai and nlp,"['computer', 'software', 'development', 'experience', 'machine', 'learning', 'application', 'system', 'science', 'engineering', 'job', 'develop', 'requirement', 'ai', 'vision', 'degree', 'knowledge', 'programming', 'relate', 'design']"
